480
# The above line gives a number >= max number of PMTs in this file
# The rest of this file contains PMT coordinates
# face is 0 for top, 1 for side, 2 for bottom
# meaning of fields as indicated on next line:
#face  ring  index_no    x       y        z     size
# top
   1       0     399    8827   -1756    8100      10
# bottom
   1       0     400    2238       0   -9000      10
   1       0     401    1582    1582   -9000      10
   1       0     402       0    2238   -9000      10
   1       0     403   -1582    1582   -9000      10
   1       0     404   -2238       0   -9000      10
   1       0     405   -1582   -1582   -9000      10
   1       0     406      -0   -2238   -9000      10
   1       0     407    1582   -1582   -9000      10
   1       0     408    4267       0   -9000      10
   1       0     409    3942    1633   -9000      10
   1       0     410    3017    3017   -9000      10
   1       0     411    1633    3942   -9000      10
   1       0     412       0    4267   -9000      10
   1       0     413   -1633    3942   -9000      10
   1       0     414   -3017    3017   -9000      10
   1       0     415   -3942    1633   -9000      10
   1       0     416   -4267       0   -9000      10
   1       0     417   -3942   -1633   -9000      10
   1       0     418   -3017   -3017   -9000      10
   1       0     419   -1633   -3942   -9000      10
   1       0     420      -0   -4267   -9000      10
   1       0     421    1633   -3942   -9000      10
   1       0     422    3017   -3017   -9000      10
   1       0     423    3942   -1633   -9000      10
   1       0     424    6295       0   -9000      10
   1       0     425    6081    1629   -9000      10
   1       0     426    5452    3148   -9000      10
   1       0     427    4451    4451   -9000      10
   1       0     428    3148    5452   -9000      10
   1       0     429    1629    6081   -9000      10
   1       0     430       0    6295   -9000      10
   1       0     431   -1629    6081   -9000      10
   1       0     432   -3148    5452   -9000      10
   1       0     433   -4451    4451   -9000      10
   1       0     434   -5452    3148   -9000      10
   1       0     435   -6081    1629   -9000      10
   1       0     436   -6295       0   -9000      10
   1       0     437   -6081   -1629   -9000      10
   1       0     438   -5452   -3148   -9000      10
   1       0     439   -4451   -4451   -9000      10
   1       0     440   -3148   -5452   -9000      10
   1       0     441   -1629   -6081   -9000      10
   1       0     442      -0   -6295   -9000      10
   1       0     443    1629   -6081   -9000      10
   1       0     444    3148   -5452   -9000      10
   1       0     445    4451   -4451   -9000      10
   1       0     446    5452   -3148   -9000      10
   1       0     447    6081   -1629   -9000      10
   1       0     448    8324       0   -9000      10
   1       0     449    8164    1624   -9000      10
   1       0     450    7690    3185   -9000      10
   1       0     451    6921    4624   -9000      10
   1       0     452    5886    5886   -9000      10
   1       0     453    4624    6921   -9000      10
   1       0     454    3185    7690   -9000      10
   1       0     455    1624    8164   -9000      10
   1       0     456       0    8324   -9000      10
   1       0     457   -1624    8164   -9000      10
   1       0     458   -3185    7690   -9000      10
   1       0     459   -4624    6921   -9000      10
   1       0     460   -5886    5886   -9000      10
   1       0     461   -6921    4624   -9000      10
   1       0     462   -7690    3185   -9000      10
   1       0     463   -8164    1624   -9000      10
   1       0     464   -8324       0   -9000      10
   1       0     465   -8164   -1624   -9000      10
   1       0     466   -7690   -3185   -9000      10
   1       0     467   -6921   -4624   -9000      10
   1       0     468   -5886   -5886   -9000      10
   1       0     469   -4624   -6921   -9000      10
   1       0     470   -3185   -7690   -9000      10
   1       0     471   -1624   -8164   -9000      10
   1       0     472      -0   -8324   -9000      10
   1       0     473    1624   -8164   -9000      10
   1       0     474    3185   -7690   -9000      10
   1       0     475    4624   -6921   -9000      10
   1       0     476    5886   -5886   -9000      10
   1       0     477    6921   -4624   -9000      10
   1       0     478    7690   -3185   -9000      10
   1       0     479    8164   -1624   -9000      10
